file,model,decoding,recipe,target,alpha,n,n_scored,validity,dat_mean,dat_std
dat_gpt2_high_t,gpt2,high_t,weakened_a,mid,0.5,15,2,0.49999999999999994,79.66417712824685,0.8119241112754523
dat_gpt2_topp,gpt2,topp,identity,all,0.0,20,19,0.865,96.73127540968414,2.9732456471336466
dat_gpt2_topp,gpt2,topp,no_affine,all,0.0,20,20,1.0,63.873694170088996,6.0546773046811015
dat_gpt2_topp,gpt2,topp,no_mean,all,0.0,20,20,1.0,83.58417868614197,9.335695150959477
dat_gpt2_topp,gpt2,topp,no_mean,early,0.0,20,20,0.9949999999999999,77.86208500464758,11.970984363245815
dat_gpt2_topp,gpt2,topp,no_mean,late,0.0,20,20,1.0,86.02168748776117,7.214730947284244
dat_gpt2_topp,gpt2,topp,no_mean,mid,0.0,20,20,0.9949999999999999,77.64963172730945,12.129069207052805
dat_gpt2_topp,gpt2,topp,stock,all,0.0,20,20,1.0,82.13068526415599,9.06434796180016
dat_gpt2_topp,gpt2,topp,weakened_a,all,0.25,20,19,0.865,96.73127540968414,2.9732456471336466
dat_gpt2_topp,gpt2,topp,weakened_a,all,0.5,20,19,0.865,96.73127540968414,2.9732456471336466
dat_gpt2_topp,gpt2,topp,weakened_a,all,0.75,20,20,1.0,61.667348075480696,5.988146330016124
dat_gpt2_topp,gpt2,topp,weakened_a,early,0.5,20,20,0.9749999999999999,59.29954090288707,2.8083411587024303
dat_gpt2_topp,gpt2,topp,weakened_a,late,0.5,20,20,1.0,61.35414747964769,6.200367573478526
dat_gpt2_topp,gpt2,topp,weakened_a,mid,0.5,20,0,0.35,,0.0
