model,recipe,target,alpha,layer,mean_pair_dist,norm_mean,norm_std,norm_ratio,uniform_angle_mean
gpt2-medium,stock,all,0.0,24,0.00562858022749424,258.4374084472656,15.339007377624512,0.05935288965702057,91.9463882446289
gpt2-medium,no_mean,all,0.0,24,0.005862553603947163,213.54147338867188,22.530420303344727,0.10550840198993683,91.53971099853516
gpt2-medium,no_affine,all,0.0,24,0.002908602822571993,217.411376953125,21.646379470825195,0.09956414997577667,91.76791381835938
gpt2-medium,weakened_a,all,0.75,24,,,,,
gpt2-medium,weakened_a,all,0.5,24,,,,,
gpt2-medium,weakened_a,all,0.25,24,,,,,
gpt2-medium,identity,all,0.0,24,,,,,
gpt2-medium,no_mean,early,0.0,24,0.0052982657216489315,238.203125,12.848095893859863,0.05393756181001663,91.8583755493164
gpt2-medium,no_mean,mid,0.0,24,0.006143615115433931,243.8090362548828,14.936393737792969,0.06126267462968826,91.88790130615234
gpt2-medium,no_mean,late,0.0,24,0.00538530433550477,217.9635009765625,31.608285903930664,0.14501641690731049,91.706298828125
